Country/Region,2020-05-01
Afghanistan,310
Albania,488
Algeria,1821
Andorra,468
Angola,11
Anguilla,3
Antigua and Barbuda,15
Argentina,1292
Armenia,1010
Australia,5782
Austria,13110
Azerbaijan,1365
Bahamas,24
Bahrain,1555
Bangladesh,174
Barbados,39
Belarus,2918
Belgium,11892
Belize,13
Benin,42
Bhutan,5
Bolivia,134
Bosnia and Herzegovina,755
Botswana,8
Brazil,38039
British Virgin Islands,3
Brunei,126
Bulgaria,287
Burkina Faso,517
Burundi,4
Cabo Verde,18
Cambodia,120
Cameroon,934
Canada,22751
Caribbean Netherlands,0
Central African Republic,10
Chad,33
Chile,9018
China,78581
Colombia,1551
Comoros,0
Congo (Brazzaville),25
Congo (Kinshasa),75
Costa Rica,355
Cote d'Ivoire,597
Croatia,1421
Cruise Ship,645
Cuba,714
Cyprus,296
Czechia,3372
Denmark,6924
Djibouti,672
Dominica,13
Dominican Republic,1387
Ecuador,1913
Egypt,1460
El Salvador,138
Equatorial Guinea,9
Eritrea,26
Estonia,256
Eswatini,12
Ethiopia,66
Falkland Islands,13
Fiji,14
Finland,3000
France,51124
Gabon,67
Gambia,9
Georgia,207
Germany,129000
Ghana,212
Greece,1374
Grenada,13
Guatemala,72
Guinea,342
Guinea-Bissau,19
Guyana,22
Haiti,10
Holy See,2
Honduras,112
Hungary,625
Iceland,1689
India,10007
Indonesia,1591
Iran,76318
Iraq,1414
Ireland,13386
Israel,9400
Italy,78249
Jamaica,31
Japan,2975
Jordan,364
Kazakhstan,922
Kenya,150
"Korea, South",9123
Kuwait,1602
Kyrgyzstan,527
Laos,8
Latvia,348
Lebanon,192
Liberia,45
Libya,18
Liechtenstein,55
Lithuania,632
Luxembourg,3213
MS Zaandam,0
Madagascar,94
Malawi,9
Malaysia,4210
Maldives,17
Mali,196
Malta,383
Mauritania,6
Mauritius,312
Mexico,12377
Moldova,1272
Monaco,73
Mongolia,10
Montenegro,240
Morocco,1083
Mozambique,12
Myanmar,31
Namibia,8
Nepal,16
Netherlands,138
New Zealand,1263
Nicaragua,7
Niger,478
Nigeria,351
North Macedonia,807
Norway,32
Oman,495
Pakistan,4715
Palestine,76
Panama,622
Papua New Guinea,0
Paraguay,115
Peru,11129
Philippines,1084
Poland,3491
Portugal,1647
Qatar,1436
Romania,4328
Russia,13220
Rwanda,109
Saint Kitts and Nevis,8
Saint Lucia,15
Saint Pierre Miquelon,0
Saint Vincent and the Grenadines,8
San Marino,82
Sao Tome and Principe,4
Saudi Arabia,3555
Senegal,356
Serbia,1379
Seychelles,6
Sierra Leone,21
Singapore,1268
Slovakia,558
Slovenia,233
Somalia,31
South Africa,2382
South Sudan,0
Spain,142450
Sri Lanka,162
Sudan,46
Suriname,8
Sweden,1005
Switzerland,23900
Syria,27
Taiwan*,324
Tajikistan,0
Tanzania,167
Thailand,2732
Timor-Leste,16
Togo,66
Trinidad and Tobago,83
Tunisia,316
Turkey,53808
US,161563
Uganda,52
Ukraine,1498
United Arab Emirates,2543
United Kingdom,873
Uruguay,435
Uzbekistan,1212
Venezuela,148
Vietnam,219
Western Sahara,5
World,1084228
Yemen,1
Zambia,74
Zimbabwe,5
